width_rank,candidate,physical_width_mm,default_apparent_width_px,width_error_px,default_local_contrast_levels,side_light_response_change_levels,default_width_std_px,default_valid_cross_sections,default_signed_contrast_levels,default_bright_fraction,default_dark_fraction
1,RW1,0.6,1.5,0.25,17.95951266690417,19.788790925003575,3.409635373188631,44,-0.26303869587077805,0.6818181818181818,0.3181818181818182
2,RW2,0.9,2.0,0.75,24.082221422323887,26.991300441955094,3.2338372274452194,46,-6.3785965918276695,0.6739130434782609,0.32608695652173914
3,RW3,1.2,2.5,1.25,30.452729037901257,33.74162451307182,3.131585688193009,46,-12.629855294353002,0.6739130434782609,0.32608695652173914
4,RW4,1.5,3.25,2.0,33.99192585795341,38.13292901187447,3.0136440900801422,47,-16.506743718791927,0.6595744680851063,0.3404255319148936
